channel_name,primary_reaction,comment_count,comment_like_sum,channel_total_comments,reaction_share_within_channel
 YTN,기타/혼합,25756,426492,49000,0.5256326530612245
 YTN,정보보완/해설,19283,236194,49000,0.39353061224489794
 YTN,비판/분노,2444,42914,49000,0.04987755102040816
 YTN,불안/공포,693,7800,49000,0.014142857142857143
 YTN,지지/응원,629,4572,49000,0.012836734693877552
 YTN,조롱/냉소,195,2370,49000,0.003979591836734694
JTBC News,기타/혼합,15325,904370,29583,0.5180340060169693
JTBC News,정보보완/해설,11583,547721,29583,0.39154243991481597
JTBC News,비판/분노,1790,122784,29583,0.0605077240306933
JTBC News,불안/공포,406,17028,29583,0.013724098299699151
JTBC News,지지/응원,380,16092,29583,0.012845215157353885
JTBC News,조롱/냉소,99,4417,29583,0.003346516580468512
KBS News,기타/혼합,9746,173986,18216,0.535024154589372
KBS News,정보보완/해설,7158,90835,18216,0.3929512516469038
KBS News,비판/분노,732,10535,18216,0.04018445322793149
KBS News,불안/공포,274,2943,18216,0.015041721563460694
KBS News,지지/응원,237,1112,18216,0.013010540184453228
KBS News,조롱/냉소,69,2242,18216,0.003787878787878788
MBCNEWS,기타/혼합,21908,1009839,41752,0.5247173788082008
MBCNEWS,정보보완/해설,15367,653324,41752,0.36805422494730794
MBCNEWS,비판/분노,3122,207592,41752,0.07477486108449895
MBCNEWS,불안/공포,706,41953,41752,0.016909369611036597
MBCNEWS,지지/응원,533,14548,41752,0.012765855527878903
MBCNEWS,조롱/냉소,116,3692,41752,0.0027783100210768347
MBN News,기타/혼합,4881,56258,9028,0.5406513070447496
MBN News,정보보완/해설,3361,31007,9028,0.3722862206468764
MBN News,비판/분노,445,3829,9028,0.04929109437306159
MBN News,지지/응원,178,1612,9028,0.019716437749224634
MBN News,불안/공포,128,1071,9028,0.014178112538768276
MBN News,조롱/냉소,35,1811,9028,0.0038768276473194504
SBS Biz 뉴스,기타/혼합,655,1851,1194,0.5485762144053601
SBS Biz 뉴스,정보보완/해설,444,1067,1194,0.37185929648241206
SBS Biz 뉴스,비판/분노,57,221,1194,0.04773869346733668
SBS Biz 뉴스,불안/공포,21,54,1194,0.017587939698492462
SBS Biz 뉴스,지지/응원,9,12,1194,0.007537688442211055
SBS Biz 뉴스,조롱/냉소,8,8,1194,0.006700167504187605
SBS 뉴스,기타/혼합,15597,400657,28663,0.5441509960576353
SBS 뉴스,정보보완/해설,10792,211413,28663,0.3765132749537732
SBS 뉴스,비판/분노,1375,34022,28663,0.04797125213690123
SBS 뉴스,불안/공포,405,6634,28663,0.01412971426577818
SBS 뉴스,지지/응원,397,3909,28663,0.013850608798799846
SBS 뉴스,조롱/냉소,97,1466,28663,0.003384153787112305
뉴스TVCHOSUN,기타/혼합,6145,87440,11014,0.5579262756491737
뉴스TVCHOSUN,정보보완/해설,3804,25337,11014,0.34537860904303613
뉴스TVCHOSUN,비판/분노,566,4799,11014,0.051389141093154164
뉴스TVCHOSUN,지지/응원,308,2541,11014,0.027964408934083893
뉴스TVCHOSUN,불안/공포,159,1104,11014,0.014436172144543308
뉴스TVCHOSUN,조롱/냉소,32,113,11014,0.002905393136008716
매일경제TV,기타/혼합,119,428,211,0.5639810426540285
매일경제TV,정보보완/해설,75,476,211,0.35545023696682465
매일경제TV,비판/분노,12,127,211,0.05687203791469194
매일경제TV,지지/응원,3,2,211,0.014218009478672985
매일경제TV,불안/공포,1,0,211,0.004739336492890996
매일경제TV,조롱/냉소,1,0,211,0.004739336492890996
연합뉴스TV,기타/혼합,9845,71043,18365,0.5360740539068881
연합뉴스TV,정보보완/해설,7121,37743,18365,0.38774843452218893
연합뉴스TV,비판/분노,818,4626,18365,0.04454124693710863
연합뉴스TV,지지/응원,315,3366,18365,0.017152191668935474
연합뉴스TV,불안/공포,211,1563,18365,0.011489245848080589
연합뉴스TV,조롱/냉소,55,417,18365,0.0029948271167982575
채널A News,기타/혼합,13991,305227,24962,0.5604919477605961
채널A News,정보보완/해설,9012,145132,24962,0.3610287637208557
채널A News,비판/분노,958,13703,24962,0.038378335069305346
채널A News,지지/응원,563,9599,24962,0.02255428250941431
채널A News,불안/공포,346,5817,24962,0.013861068824613413
채널A News,조롱/냉소,92,1293,24962,0.003685602115215127
한국경제TV,기타/혼합,1017,4916,1703,0.5971814445096888
한국경제TV,정보보완/해설,562,2350,1703,0.3300058719906048
한국경제TV,비판/분노,65,276,1703,0.03816793893129771
한국경제TV,불안/공포,33,218,1703,0.019377568995889608
한국경제TV,지지/응원,17,43,1703,0.009982384028185555
한국경제TV,조롱/냉소,9,49,1703,0.005284791544333529
