channel_name,keyword,count,share_pct,rank
JTBC News,미군,359,12.9,1
JTBC News,호르무즈,280,10.0,2
JTBC News,해협,252,9.0,3
JTBC News,드론,205,7.3,4
JTBC News,작전,193,6.9,5
JTBC News,에너지,169,6.1,6
JTBC News,시설,169,6.1,7
JTBC News,혁명,157,5.6,8
JTBC News,기회,157,5.6,9
JTBC News,분석,155,5.6,10
JTBC News,피해,149,5.3,11
JTBC News,정권,145,5.2,12
JTBC News,기지,144,5.2,13
JTBC News,군사,131,4.7,14
JTBC News,모즈타바,126,4.5,15
KBS News,해협,320,12.8,1
KBS News,호르무즈,280,11.2,2
KBS News,시설,238,9.5,3
KBS News,원유,211,8.4,4
KBS News,미군,185,7.4,5
KBS News,드론,153,6.1,6
KBS News,작전,132,5.3,7
KBS News,달러,127,5.1,8
KBS News,석유,124,5.0,9
KBS News,이상,124,5.0,10
KBS News,유가,122,4.9,11
KBS News,일본,122,4.9,12
KBS News,국제,121,4.8,13
KBS News,가격,121,4.8,14
KBS News,중국,118,4.7,15
MBCNEWS,시설,184,9.7,1
MBCNEWS,해협,180,9.5,2
MBCNEWS,호르무즈,171,9.0,3
MBCNEWS,미군,164,8.6,4
MBCNEWS,드론,138,7.3,5
MBCNEWS,원유,137,7.2,6
MBCNEWS,달러,118,6.2,7
MBCNEWS,작전,113,6.0,8
MBCNEWS,에너지,111,5.8,9
MBCNEWS,지역,107,5.6,10
MBCNEWS,석유,101,5.3,11
MBCNEWS,가격,99,5.2,12
MBCNEWS,기지,94,5.0,13
MBCNEWS,국제,91,4.8,14
MBCNEWS,선박,90,4.7,15
MBN News,미군,130,9.4,1
MBN News,해협,127,9.2,2
MBN News,시설,125,9.1,3
MBN News,원유,111,8.1,4
MBN News,호르무즈,106,7.7,5
MBN News,작전,95,6.9,6
MBN News,석유,94,6.8,7
MBN News,다른,83,6.0,8
MBN News,군사,81,5.9,9
MBN News,가격,74,5.4,10
MBN News,중국,74,5.4,11
MBN News,호르무주,73,5.3,12
MBN News,드론,69,5.0,13
MBN News,북한,69,5.0,14
MBN News,국가,67,4.9,15
SBS Biz 뉴스,시장,111,18.2,1
SBS Biz 뉴스,달러,66,10.8,2
SBS Biz 뉴스,주가,43,7.1,3
SBS Biz 뉴스,유가,40,6.6,4
SBS Biz 뉴스,중국,38,6.2,5
SBS Biz 뉴스,투자,34,5.6,6
SBS Biz 뉴스,반도체,34,5.6,7
SBS Biz 뉴스,기업,33,5.4,8
SBS Biz 뉴스,삼성전자,32,5.3,9
SBS Biz 뉴스,가격,32,5.3,10
SBS Biz 뉴스,금리,32,5.3,11
SBS Biz 뉴스,하이닉스,30,4.9,12
SBS Biz 뉴스,변동성,29,4.8,13
SBS Biz 뉴스,영향,28,4.6,14
SBS Biz 뉴스,증시,27,4.4,15
SBS 뉴스,해협,237,13.1,1
SBS 뉴스,호르무즈,194,10.7,2
SBS 뉴스,미군,159,8.8,3
SBS 뉴스,시설,152,8.4,4
SBS 뉴스,드론,123,6.8,5
SBS 뉴스,국제,118,6.5,6
SBS 뉴스,원유,111,6.1,7
SBS 뉴스,작전,103,5.7,8
SBS 뉴스,걸로,101,5.6,9
SBS 뉴스,지역,93,5.1,10
SBS 뉴스,달러,93,5.1,11
SBS 뉴스,유가,85,4.7,12
SBS 뉴스,군사,81,4.5,13
SBS 뉴스,지난,80,4.4,14
SBS 뉴스,에너지,78,4.3,15
YTN,미군,13868,14.3,1
YTN,작전,12129,12.5,2
YTN,군사,7415,7.7,3
YTN,드론,6868,7.1,4
YTN,하메,6544,6.8,5
YTN,기지,6130,6.3,6
YTN,정권,5999,6.2,7
YTN,혁명,5804,6.0,8
YTN,보복,5108,5.3,9
YTN,지역,5090,5.3,10
YTN,시설,5083,5.3,11
YTN,수비대,4438,4.6,12
YTN,해협,4288,4.4,13
YTN,피해,4244,4.4,14
YTN,경고,3807,3.9,15
뉴스TVCHOSUN,작전,246,14.1,1
뉴스TVCHOSUN,미군,159,9.1,2
뉴스TVCHOSUN,해협,142,8.1,3
뉴스TVCHOSUN,호르무즈,130,7.4,4
뉴스TVCHOSUN,시설,127,7.3,5
뉴스TVCHOSUN,군사,121,6.9,6
뉴스TVCHOSUN,기지,111,6.4,7
뉴스TVCHOSUN,드론,106,6.1,8
뉴스TVCHOSUN,전력,97,5.5,9
뉴스TVCHOSUN,원유,95,5.4,10
뉴스TVCHOSUN,혁명,93,5.3,11
뉴스TVCHOSUN,지역,82,4.7,12
뉴스TVCHOSUN,에너지,82,4.7,13
뉴스TVCHOSUN,수비대,81,4.6,14
뉴스TVCHOSUN,선박,76,4.3,15
매일경제TV,시장,69,22.5,1
매일경제TV,에너지,26,8.5,2
매일경제TV,달러,22,7.2,3
매일경제TV,부분들,19,6.2,4
매일경제TV,보시면,19,6.2,5
매일경제TV,투자,18,5.9,6
매일경제TV,이야기,18,5.9,7
매일경제TV,유가,18,5.9,8
매일경제TV,관련된,15,4.9,9
매일경제TV,비트코인,15,4.9,10
매일경제TV,경제,15,4.9,11
매일경제TV,상승,14,4.6,12
매일경제TV,기존,13,4.2,13
매일경제TV,기대감,13,4.2,14
매일경제TV,계속해서,13,4.2,15
연합뉴스TV,해협,424,11.4,1
연합뉴스TV,호르무즈,322,8.7,2
연합뉴스TV,시설,308,8.3,3
연합뉴스TV,작전,291,7.8,4
연합뉴스TV,미군,290,7.8,5
연합뉴스TV,원유,242,6.5,6
연합뉴스TV,에너지,233,6.3,7
연합뉴스TV,지역,223,6.0,8
연합뉴스TV,드론,219,5.9,9
연합뉴스TV,국제,215,5.8,10
연합뉴스TV,군사,203,5.5,11
연합뉴스TV,선박,199,5.4,12
연합뉴스TV,유가,187,5.0,13
연합뉴스TV,석유,179,4.8,14
연합뉴스TV,혁명,176,4.7,15
채널A News,원유,42,10.8,1
채널A News,미군,39,10.0,2
채널A News,드론,30,7.7,3
채널A News,작전,27,6.9,4
채널A News,시설,27,6.9,5
채널A News,해협,27,6.9,6
채널A News,호르무즈,26,6.7,7
채널A News,일본,25,6.4,8
채널A News,무기,25,6.4,9
채널A News,we,23,5.9,10
채널A News,기지,21,5.4,11
채널A News,러시아,20,5.1,12
채널A News,그렇죠,20,5.1,13
채널A News,탄도,19,4.9,14
채널A News,주요,19,4.9,15
한국경제TV,시장,16,15.2,1
한국경제TV,유가,12,11.4,2
한국경제TV,원유,10,9.5,3
한국경제TV,갖고,6,5.7,4
한국경제TV,우려,6,5.7,5
한국경제TV,봐야,6,5.7,6
한국경제TV,주신,6,5.7,7
한국경제TV,변동성,6,5.7,8
한국경제TV,실적,6,5.7,9
한국경제TV,너무,6,5.7,10
한국경제TV,같아요,5,4.8,11
한국경제TV,가격,5,4.8,12
한국경제TV,영향,5,4.8,13
한국경제TV,거고,5,4.8,14
한국경제TV,주가,5,4.8,15
